"ingredient.group","ingredient.subgroup","ingredient"
"Bottle","Absinthe","House Absinthe"
"Bottle","Absinthe","Pernod Anise"
"Bottle","Aquavit","House Aquavit"
"Bottle","Aquavit","Krogstad Aquavit"
"Bottle","Aquavit-Cranberry","New York White Cranberry Aquavit"
"Bottle","Beer-Ale","London Pride Ale"
"Bottle","Beer-Amber","Bass"
"Bottle","Beer-Amber","Dogfish Head Indian Brown Ale"
"Bottle","Beer-Amber","House Amber Ale"
"Bottle","Beer-Amber","Modelo Especial"
"Bottle","Beer-Amber","Negra Modelo"
"Bottle","Beer-Belgian","House Strong Belgian Ale"
"Bottle","Beer-Cherry","House Belgian Cherry (Kriek) Ale"
"Bottle","Beer-IPA","House IPA "
"Bottle","Beer-IPA","West Coast Green Flash IPA"
"Bottle","Beer-Lager","Victoria Beer"
"Bottle","Beer-Pale Ale","House Pale Ale"
"Bottle","Beer-Saison","House Saison"
"Bottle","Beer-Schwarzbier","Krusovice Cerne"
"Bottle","Beer-Stout","Guinness"
"Bottle","Beer-Stout","House Stout"
"Bottle","Bitters-Apple","House Apple Bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters"
"Bottle","Bitters-Aromatic","Brooklyn Hemispherical Black Mission Fig Bitters"
"Bottle","Bitters-Aromatic","Fee Brothers Barrel-Aged Old-Fashioned Bitters"
"Bottle","Bitters-Aromatic","Fee Brothers Old-Fashioned Bitters"
"Bottle","Bitters-Aromatic","House Aromatic Bitters"
"Bottle","Bitters-Celery","House Celery Bitters"
"Bottle","Bitters-Citrus","Hella Bitter Citrus Bitters"
"Bottle","Bitters-Creole","Peychaud's Bitters"
"Bottle","Bitters-Creole","Peychaud’s Bitters"
"Bottle","Bitters-Grapefruit","Fee Brothers Grapefruit Bitters"
"Bottle","Bitters-Grapefruit","House Grapefruit Bitters"
"Bottle","Bitters-Habañero","House Habañero Bitters"
"Bottle","Bitters-Lavender","Scrappy's Lavender Bitters"
"Bottle","Bitters-Mole","Bittermens Xocolatl Mole Bitters"
"Bottle","Bitters-Orange","Angostura Orange Bitters"
"Bottle","Bitters-Orange","House Orange Bitters"
"Bottle","Bitters-Orange","Regan’s Orange Bitters"
"Bottle","Bitters-Peach","Fee Brothers Peach Bitters"
"Bottle","Brandy-Apple","Applejack"
"Bottle","Brandy-Apple","Calvados"
"Bottle","Brandy-Apple","House Apple Brandy"
"Bottle","Brandy-Apple","Laird's Bonded Apple Brandy"
"Bottle","Brandy-Berry","House Berry Brandy"
"Bottle","Brandy-Cherry","Clear Creek Kirschwasser"
"Bottle","Brandy-Cherry","House Cherry Brandy"
"Bottle","Brandy-Grape","Blanche Armagnac"
"Bottle","Brandy-Grape","Courvoisier V.S."
"Bottle","Brandy-Grape","Courvoisier"
"Bottle","Brandy-Grape","Gran Duque d'Alba Brandy de Jerez"
"Bottle","Brandy-Grape","Hennessy X.O."
"Bottle","Brandy-Grape","Hennessy"
"Bottle","Brandy-Grape","House Armagnac"
"Bottle","Brandy-Grape","House Brandy"
"Bottle","Brandy-Grape","House Cognac"
"Bottle","Brandy-Grape","House Pisco"
"Bottle","Brandy-Grape","House Spanish Brandy"
"Bottle","Brandy-Grape","House V.S."
"Bottle","Brandy-Grape","House V.S.O.P."
"Bottle","Brandy-Grape","Pierre Ferrand 1840 Cognac"
"Bottle","Brandy-Peach","Peach Brandy"
"Bottle","Brandy-Pear","Poire William Pear Brandy"
"Bottle","Fortified Wine-Madeira","Madeira"
"Bottle","Gin","House Gin"
"Bottle","Gin-Genever","Genever"
"Bottle","Gin-London Dry","Beefeater Gin"
"Bottle","Gin-London Dry","Bombay Gin"
"Bottle","Gin-London Dry","Gordon’s Gin"
"Bottle","Gin-London Dry","House London Dry Gin"
"Bottle","Gin-London Dry","Oxley Gin"
"Bottle","Gin-New Style","Bluecoat Gin"
"Bottle","Gin-New Style","DH Krahn"
"Bottle","Gin-New Style","Dorothy Parker Gin"
"Bottle","Gin-New Style","Hendrick's Gin"
"Bottle","Gin-New Style","Junipero Gin"
"Bottle","Gin-New Style","Nolet's Gin"
"Bottle","Gin-New Style","Perry’s Tot Gin"
"Bottle","Gin-Old Tom","Hayman’s Old Tom Gin"
"Bottle","Gin-Old Tom","Spring 44 Old Tom Gin"
"Bottle","Gin-Plymouth","Plymouth Gin"
"Bottle","Gin-Sloe","Plymouth Sloe Gin"
"Bottle","Hard Cider-Apple","Cider Strongbow English"
"Bottle","Hard Cider-Ice-Apple","Cachée de la Pomme"
"Bottle","Hard Cider-Ice-Apple","Neige Ice Cider"
"Bottle","Liqueur-Allspice","House Allspice Dram"
"Bottle","Liqueur-Allspice","St. Elizabeth Allspice Dram"
"Bottle","Liqueur-Almond","Amaretto di Aronno"
"Bottle","Liqueur-Amaro","Luxardo Amaro Abano"
"Bottle","Liqueur-Amaro","Amaro Averna"
"Bottle","Liqueur-Amaro","Amaro Cardamaro"
"Bottle","Liqueur-Amaro","Amaro Nonino"
"Bottle","Liqueur-Amaro","Amaro Ramazzotti"
"Bottle","Liqueur-Amaro","Aperol"
"Bottle","Liqueur-Amaro","Campari"
"Bottle","Liqueur-Amaro","Cocchi Americano"
"Bottle","Liqueur-Amaro","Cynar"
"Bottle","Liqueur-Amaro","Disaronno"
"Bottle","Liqueur-Amaro","Fernet-Branca"
"Bottle","Liqueur-Amaro","House Amaro"
"Bottle","Liqueur-Amaro","Nardini Acqua di Cedro"
"Bottle","Liqueur-Amaro","Suze"
"Bottle","Liqueur-Anise","Ricard Pastis"
"Bottle","Liqueur-Apple","Apple Berentzen"
"Bottle","Liqueur-Apple","Apple Schnapps"
"Bottle","Liqueur-Apricot","Apry"
"Bottle","Liqueur-Banana","Creme de Banane"
"Bottle","Liqueur-Blackberry","Crème de Mûre"
"Bottle","Liqueur-Chamomile","Grappa & Camomile Marolo Milla"
"Bottle","Liqueur-Cherry","Cherry Heering"
"Bottle","Liqueur-Cherry","Maraschino"
"Bottle","Liqueur-Chocolate","House Dark Crème de Cacao"
"Bottle","Liqueur-Chocolate","House White Crème de Cacao"
"Bottle","Liqueur-Chocolate","Tempus Fugit Crème de Cacao"
"Bottle","Liqueur-Coffee","Galliano"
"Bottle","Liqueur-Cream-Spiced","Kringle Cream"
"Bottle","Liqueur-Currant","Crème de Cassis"
"Bottle","Liqueur-Elderflower","St-Germain"
"Bottle","Liqueur-Gentian","Gentian"
"Bottle","Liqueur-Ginger","Domaine de Canton"
"Bottle","Liqueur-Ginger","House Liqueur Ginger"
"Bottle","Liqueur-Ginger-Spiced","Snap"
"Bottle","Liqueur-Grape","Grappa"
"Bottle","Liqueur-Hazelnut","Frangelico"
"Bottle","Liqueur-Herbal","B&B"
"Bottle","Liqueur-Herbal","Bénédictine"
"Bottle","Liqueur-Herbal","Dolin Génépi"
"Bottle","Liqueur-Herbal","Green Chartreuse"
"Bottle","Liqueur-Herbal","Strega"
"Bottle","Liqueur-Herbal","Yellow Chartreuse"
"Bottle","Liqueur-Hibiscus","Sorel"
"Bottle","Liqueur-Honey","Drambuie"
"Bottle","Liqueur-Honey","Irish Mist"
"Bottle","Liqueur-Mango","Fruja Mango Hiram Walker"
"Bottle","Liqueur-Melon","Melon Midori"
"Bottle","Liqueur-Mint","Brancamenta"
"Bottle","Liqueur-Mint","Wondermint"
"Bottle","Liqueur-Orange","Blue Curaçao"
"Bottle","Liqueur-Orange","Cointreau"
"Bottle","Liqueur-Orange","Gran Gala"
"Bottle","Liqueur-Orange","Grand Marnier 100-Year-Old"
"Bottle","Liqueur-Orange","Grand Marnier"
"Bottle","Liqueur-Orange","House Orange Liqueur"
"Bottle","Liqueur-Orange","Orange Curaçao"
"Bottle","Liqueur-Orange","Orange Torres"
"Bottle","Liqueur-Orange","Pierre Ferrand Dry Curaçao"
"Bottle","Liqueur-Orange","Triple Sec"
"Bottle","Liqueur-Passion Fruit","Alizé"
"Bottle","Liqueur-Peach","Crème de Pêche"
"Bottle","Liqueur-Peach","Leopold Brothers Peach"
"Bottle","Liqueur-Peach","Mathilde Pêche"
"Bottle","Liqueur-Peach","Peach Giffard"
"Bottle","Liqueur-Peach","Peach Schnapps"
"Bottle","Liqueur-Pear","Carneros Pear de Pear"
"Bottle","Liqueur-Pear","House Pear Liqueur"
"Bottle","Liqueur-Pimm's","Pimm’s no. 1"
"Bottle","Liqueur-Pine","House Pine Liqueur"
"Bottle","Liqueur-Raspberry","Chambord Liqueur Royale de France"
"Bottle","Liqueur-Raspberry","Créme de Framboise"
"Bottle","Liqueur-Root","House Root Liqueur"
"Bottle","Liqueur-Tropical","Hpnotiq"
"Bottle","Liqueur-Velvet Falernum","Velvet Falernum"
"Bottle","Liqueur-Wanut","Nocino Watershed"
"Bottle","Liqueur-Whiskey","Southern Comfort"
"Bottle","Mezcal","Del Maguey Tobala"
"Bottle","Mezcal","Del Maguey Vida"
"Bottle","Mezcal","Fidencio Clasico"
"Bottle","Mezcal","House Mezcal"
"Bottle","Mezcal","Ilegal Reposado"
"Bottle","Mezcal","Joven"
"Bottle","Mezcal","Sombra"
"Bottle","Port-Ruby","House Ruby Port"
"Bottle","Port-Tawny","House Tawny Port"
"Bottle","Rum","House Rum"
"Bottle","Rum-Amber","House Amber Rum"
"Bottle","Rum-Cachaça","House Cachaça"
"Bottle","Rum-Cachaça","Oronoco"
"Bottle","Rum-Citrus","Bacardi Limón"
"Bottle","Rum-Dark","House Dark Rum"
"Bottle","Rum-English Style","10 Cane Rum"
"Bottle","Rum-English Style","Gosling's Black Seal"
"Bottle","Rum-English Style","Lemon Hart 151"
"Bottle","Rum-English Style","Lemon Hart Rum"
"Bottle","Rum-Jamaican","Appleton Reserve"
"Bottle","Rum-Jamaican","Appleton v/x"
"Bottle","Rum-Jamaican","Banks 5 Island"
"Bottle","Rum-Jamaican","House Jamaican Rum"
"Bottle","Rum-Jamaican","Smith & Cross"
"Bottle","Rum-Mango","Mango Rum"
"Bottle","Rum-Pineapple","Stiggins' Fancy Pineapple Rum"
