"ingredient.group","ingredient.subgroup","ingredient","as.written"
"Bottle","Absinthe","House Absinthe","splash of absinthe"
"Bottle","Absinthe","House Absinthe","ounce absinthe"
"Bottle","Absinthe","House Absinthe","dash absinthe"
"Bottle","Absinthe","House Absinthe","ounces absinthe"
"Bottle","Absinthe","House Absinthe","absinthe"
"Bottle","Absinthe","Pernod Anise","splash of pernod, ouzo or other licorice-flavored spirit"
"Bottle","Aquavit","House Aquavit","ounce aquavit"
"Bottle","Aquavit","Krogstad Aquavit","ounce aquavit, preferably krogstad"
"Bottle","Aquavit-Cranberry","New York White Cranberry Aquavit","ounces aquavit new york white cranberry (go to www.aquavitnewyork.com for purchasing information) or plain aquavit"
"Bottle","Beer-Ale","London Pride Ale","bottles (22 4/10 ounces) london pride ale"
"Bottle","Beer-Amber","Bass","ounce dark beer like bass"
"Bottle","Beer-Amber","Dogfish Head Indian Brown Ale","ounces linden street old brick bitter or dogfish head indian brown ale"
"Bottle","Beer-Amber","House Amber Ale","ounces amber ale"
"Bottle","Beer-Amber","Modelo Especial","ounces modelo especial beer"
"Bottle","Beer-Amber","Negra Modelo","ounces negra modelo beer"
"Bottle","Beer-Amber","Negra Modelo","ounces beer, preferably a dark mexican beer like negra modelo"
"Bottle","Beer-Belgian","House Strong Belgian Ale","bottle (11 or 12 ounces) strong belgian ale"
"Bottle","Beer-Cherry","House Belgian Cherry (Kriek) Ale","bottle (11 or 12 ounces) belgian cherry (kriek) ale"
"Bottle","Beer-IPA","House IPA ","chilled india pale ale"
"Bottle","Beer-IPA","West Coast Green Flash IPA","ounces west coast green flash i.p.a."
"Bottle","Beer-Lager","Victoria Beer","ounces victoria beer"
"Bottle","Beer-Pale Ale","House Pale Ale","ounces, or more, pale ale"
"Bottle","Beer-Saison","House Saison","ounces chilled saison beer"
"Bottle","Beer-Schwarzbier","Krusovice Cerne","krusovice cerne beer to top"
"Bottle","Beer-Stout","Guinness","ounces guinness stout, chilled"
"Bottle","Beer-Stout","House Stout","ounces, or more, stout"
"Bottle","Bitters-Apple","House Apple Bitters","dash apple bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","½ ounce angostura bitters."
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","ounce angostura bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","dash of angostura bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","dash angostura bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","several dashes angostura bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","tablespoon angostura bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","dashes of angostura bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","dashes angostura bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","angostura bitters"
"Bottle","Bitters-Aromatic","Angostura Aromatic Bitters","ounces angostura bitters"
"Bottle","Bitters-Aromatic","Brooklyn Hemispherical Black Mission Fig Bitters","dashes bitters (i prefer brooklyn hemispherical black mission fig, but angostura works, too)."
"Bottle","Bitters-Aromatic","Fee Brothers Barrel-Aged Old-Fashioned Bitters","dash bitters, like fee brothers barrel-aged"
"Bottle","Bitters-Aromatic","Fee Brothers Barrel-Aged Old-Fashioned Bitters","dash of fee brothers whiskey barrel-aged bitters"
"Bottle","Bitters-Aromatic","Fee Brothers Old-Fashioned Bitters","dashes fee brothers old fashioned aromatic bitters (or 3 dashes angostura bitters)"
"Bottle","Bitters-Aromatic","Fee Brothers Old-Fashioned Bitters","dash old-fashioned bitters, preferably fee brothers"
"Bottle","Bitters-Aromatic","Fee Brothers Old-Fashioned Bitters","dashes fee brothers old fashion bitters"
"Bottle","Bitters-Aromatic","House Aromatic Bitters","bitters"
"Bottle","Bitters-Aromatic","House Aromatic Bitters","dash bitters"
"Bottle","Bitters-Aromatic","House Aromatic Bitters","dashes bitters"
"Bottle","Bitters-Celery","House Celery Bitters","dash celery bitters"
"Bottle","Bitters-Citrus","Hella Bitter Citrus Bitters","dashes hella bitter citrus bitters"
"Bottle","Bitters-Creole","Peychaud's Bitters","ashes peychaud's bitters"
"Bottle","Bitters-Creole","Peychaud’s Bitters","dash of peychaud’s bitters"
"Bottle","Bitters-Grapefruit","Fee Brothers Grapefruit Bitters","dashes fee brothers grapefruit bitters"
"Bottle","Bitters-Grapefruit","House Grapefruit Bitters","dash grapefruit bitters"
"Bottle","Bitters-Habañero","House Habañero Bitters","dashes chile-flavored bitters, preferably habañero"
"Bottle","Bitters-Lavender","Scrappy's Lavender Bitters","dashes scrappy’s lavender bitters (see note)"
"Bottle","Bitters-Mole","Bittermens Xocolatl Mole Bitters","dashes bittermens mole bitters"
"Bottle","Bitters-Mole","Bittermens Xocolatl Mole Bitters","dashes bittermens xocolatl mole bitters"
"Bottle","Bitters-Orange","Angostura Orange Bitters","dash of angostura orange bitters"
"Bottle","Bitters-Orange","House Orange Bitters","dash orange bitters"
"Bottle","Bitters-Orange","House Orange Bitters","dashes orange bitters"
"Bottle","Bitters-Orange","House Orange Bitters","dash of orange bitters"
"Bottle","Bitters-Orange","House Orange Bitters","dash, orange bitters"
"Bottle","Bitters-Orange","House Orange Bitters","dashes of orange bitters"
"Bottle","Bitters-Orange","Regan’s Orange Bitters","dashes regan’s bitters, or other orange bitters"
"Bottle","Bitters-Orange","Regan’s Orange Bitters","dash of regans’ orange bitters"
"Bottle","Bitters-Peach","Fee Brothers Peach Bitters","dash of fee brothers peach bitters"
"Bottle","Brandy-Apple","Applejack","ounces applejack"
"Bottle","Brandy-Apple","Applejack","cups applejack or apple brandy, or to taste"
"Bottle","Brandy-Apple","Applejack","oz. applejack"
"Bottle","Brandy-Apple","Calvados","ounce calvados"
"Bottle","Brandy-Apple","House Apple Brandy","ounces apple brandy"
"Bottle","Brandy-Apple","House Apple Brandy","1½ ounces apple brandy"
"Bottle","Brandy-Apple","Laird's Bonded Apple Brandy","ounces laird’s bonded applejack"
"Bottle","Brandy-Apple","Laird's Bonded Apple Brandy","ounces laird’s bonded apple brandy (be certain it’s the bonded version)"
"Bottle","Brandy-Apple","Laird's Bonded Apple Brandy","ounces laird 100-proof straight apple brandy, or 2 ounces clear creek eau de vie de pomme"
"Bottle","Brandy-Berry","House Berry Brandy","cup berry brandy or crème de cassis"
"Bottle","Brandy-Cherry","Clear Creek Kirschwasser","ounce clear creek kirschwasser"
"Bottle","Brandy-Cherry","House Cherry Brandy","ounces of cherry brandy"
"Bottle","Brandy-Grape","Blanche Armagnac","oz. blanche armagnac"
"Bottle","Brandy-Grape","Courvoisier V.S.","ounces v.s. cognac, like courvoisier v.s. or hennessy v.s"
"Bottle","Brandy-Grape","Courvoisier","ounces courvoisier"
"Bottle","Brandy-Grape","Gran Duque d'Alba Brandy de Jerez","ounce gran duque d'alba brandy de jerez"
"Bottle","Brandy-Grape","Hennessy X.O.","ounces hennessy x.o"
"Bottle","Brandy-Grape","Hennessy","ounce of hennessy"
"Bottle","Brandy-Grape","House Armagnac","ounce armagnac"
"Bottle","Brandy-Grape","House Brandy","oz. brandy"
"Bottle","Brandy-Grape","House Brandy","parts brandy"
"Bottle","Brandy-Grape","House Brandy","cup brandy"
"Bottle","Brandy-Grape","House Brandy","ounce brandy"
"Bottle","Brandy-Grape","House Brandy","tablespoons brandy"
"Bottle","Brandy-Grape","House Cognac","ounces cognac"
"Bottle","Brandy-Grape","House Cognac","1½ ounces cognac"
"Bottle","Brandy-Grape","House Cognac","750-milliliter bottle cognac"
"Bottle","Brandy-Grape","House Cognac","pint cognac or brandy"
"Bottle","Brandy-Grape","House Cognac","ounces of cognac"
"Bottle","Brandy-Grape","House Cognac","teaspoon cognac"
"Bottle","Brandy-Grape","House Cognac","ounce cognac"
"Bottle","Brandy-Grape","House Pisco","ounces pisco"
"Bottle","Brandy-Grape","House Spanish Brandy","cup spanish brandy"
"Bottle","Brandy-Grape","House V.S.","ounce v.s. cognac"
"Bottle","Brandy-Grape","House V.S.O.P.","ounce brandy, preferably v.s.o.p."
"Bottle","Brandy-Grape","House V.S.O.P.","ounce v.s.o.p. cognac"
"Bottle","Brandy-Grape","House V.S.O.P.","ounces v.s.o.p. cognac"
"Bottle","Brandy-Grape","Pierre Ferrand 1840 Cognac","ounces cognac, preferably pierre ferrand 1840"
"Bottle","Brandy-Peach","Peach Brandy","ounce peach brandy or peach vodka."
"Bottle","Brandy-Pear","Poire William Pear Brandy","cup poire william, or other pear brandy"
"Bottle","Fortified Wine-Madeira","Madeira","cups madeira"
"Bottle","Gin","House Gin","ounces (2 cups) gin"
"Bottle","Gin","House Gin","cup gin"
"Bottle","Gin","House Gin","ounce gin"
"Bottle","Gin","House Gin","ounces gin"
"Bottle","Gin","House Gin","oz. gin"
"Bottle","Gin","House Gin","1½ ounces gin"
"Bottle","Gin","House Gin","750-milliliter bottle gin"
"Bottle","Gin","House Gin","about 2 cups gin"
"Bottle","Gin","House Gin","cup gin (or vodka)"
"Bottle","Gin","House Gin","ounces of gin"
"Bottle","Gin","House Gin","ounces of gin (or vodka or white or dark rum)"
"Bottle","Gin","House Gin","dash gin"
"Bottle","Gin","House Gin","ounces gin (omit for nonalcoholic drink)"
"Bottle","Gin-Genever","Genever","ounces (2 cups) genever"
"Bottle","Gin-Genever","Genever","ounces genever gin"
"Bottle","Gin-London Dry","Beefeater Gin","ounce gin, preferably beefeater"
"Bottle","Gin-London Dry","Beefeater Gin","parts beefeater gin"
"Bottle","Gin-London Dry","Bombay Gin","ounces of gin (preferably bombay)"
"Bottle","Gin-London Dry","Bombay Gin","ounces bombay gin"
"Bottle","Gin-London Dry","Gordon’s Gin","parts gordon’s gin (007’s preference)"
"Bottle","Gin-London Dry","House London Dry Gin","ounces london dry-style gin"
"Bottle","Gin-London Dry","House London Dry Gin","ounces london dry gin"
"Bottle","Gin-London Dry","House London Dry Gin","ounces dry gin"
"Bottle","Gin-London Dry","Oxley Gin","ounces gin, preferably oxley"
"Bottle","Gin-New Style","Bluecoat Gin","ounces bluecoat or other high-quality gin"
"Bottle","Gin-New Style","DH Krahn","ounces dh krahn gin"
"Bottle","Gin-New Style","Dorothy Parker Gin","ounces gin, preferably dorothy parker american gin"
"Bottle","Gin-New Style","Hendrick's Gin","ounces hendricks gin"
"Bottle","Gin-New Style","Hendrick's Gin","ounces gin, preferably hendrick’s"
"Bottle","Gin-New Style","Hendrick's Gin","parts hendrick’s gin"
"Bottle","Gin-New Style","Hendrick's Gin","cups vodka or gin, preferably hendrick's gin"
"Bottle","Gin-New Style","Hendrick's Gin","ounces of hendrick's gin"
"Bottle","Gin-New Style","Junipero Gin","ounces junipero gin"
"Bottle","Gin-New Style","Junipero Gin","ounces junipero, or other gin"
"Bottle","Gin-New Style","Nolet's Gin","cup floral gin (i like nolet’s)"
"Bottle","Gin-New Style","Perry’s Tot Gin","ounces navy-strength gin, preferably perry’s tot"
"Bottle","Gin-Old Tom","Hayman’s Old Tom Gin","ounce hayman’s old tom gin or any gin you prefer"
"Bottle","Gin-Old Tom","Spring 44 Old Tom Gin","ounces spring 44 old tom gin"
"Bottle","Gin-Plymouth","Plymouth Gin","ounces gin, preferably plymouth"
"Bottle","Gin-Sloe","Plymouth Sloe Gin","ounce plymouth sloe gin liqueur"
"Bottle","Hard Cider-Apple","Cider Strongbow English","bottles (48 ounces) strongbow english cider"
"Bottle","Hard Cider-Ice-Apple","Cachée de la Pomme","face cachée de la pomme"
"Bottle","Hard Cider-Ice-Apple","Neige Ice Cider","cup neige ice cider from la"
"Bottle","Liqueur-Allspice","House Allspice Dram","oz. allspice dram"
"Bottle","Liqueur-Allspice","St. Elizabeth Allspice Dram","ounce st. elizabeth allspice dram"
"Bottle","Liqueur-Allspice","St. Elizabeth Allspice Dram","dashes st. elizabeth allspice dram"
"Bottle","Liqueur-Almond","Amaretto di Aronno","ounce amaretto di saronno"
"Bottle","Liqueur-Amaro","Luxardo Amaro Abano","ounce luxardo amaro abano"
"Bottle","Liqueur-Amaro","Luxardo Amaro Abano","ounce amaro abano"
"Bottle","Liqueur-Amaro","Amaro Averna","ounces averna amaro"
"Bottle","Liqueur-Amaro","Amaro Cardamaro","ounce cardamaro"
"Bottle","Liqueur-Amaro","Amaro Nonino","ounces lighter italian amaro, like nonino"
"Bottle","Liqueur-Amaro","Amaro Ramazzotti","ounce ramazzotti amaro"
"Bottle","Liqueur-Amaro","Aperol","ounce aperol"
"Bottle","Liqueur-Amaro","Aperol","ounces aperol or other bitter aperitif"
"Bottle","Liqueur-Amaro","Aperol","ounces aperol"
"Bottle","Liqueur-Amaro","Campari","ounces (2 cups) campari"
"Bottle","Liqueur-Amaro","Campari","ounce campari"
"Bottle","Liqueur-Amaro","Campari","ounces campari"
"Bottle","Liqueur-Amaro","Campari","¾ ounce campari"
"Bottle","Liqueur-Amaro","Campari","good splash campari"
"Bottle","Liqueur-Amaro","Campari","drops campari"
"Bottle","Liqueur-Amaro","Campari","ounces campari or other amaro"
"Bottle","Liqueur-Amaro","Cocchi Americano","ounce cocchi americano"
"Bottle","Liqueur-Amaro","Cynar","ounce cynar"
"Bottle","Liqueur-Amaro","Cynar","ounces cynar"
"Bottle","Liqueur-Amaro","Disaronno","ounce disaronno"
"Bottle","Liqueur-Amaro","Fernet-Branca","½ ounce fernet branca"
"Bottle","Liqueur-Amaro","Fernet-Branca","ounces fernet branca"
"Bottle","Liqueur-Amaro","Fernet-Branca","dash fernet branca"
"Bottle","Liqueur-Amaro","Fernet-Branca","ounce fernet branca"
"Bottle","Liqueur-Amaro","Fernet-Branca","ounce fernet-branca"
"Bottle","Liqueur-Amaro","House Amaro","¼ ounce amaro"
"Bottle","Liqueur-Amaro","House Amaro","ounce amaro"
"Bottle","Liqueur-Amaro","Nardini Acqua di Cedro","ounce nardini acqua di cedro liqueur (see note)"
"Bottle","Liqueur-Amaro","Suze","ounce suze liqueur"
"Bottle","Liqueur-Anise","Ricard Pastis","ounces ricard pastis"
"Bottle","Liqueur-Anise","Ricard Pastis","ounce pastis"
"Bottle","Liqueur-Apple","Apple Berentzen","ounces berentzen apple liqueur"
"Bottle","Liqueur-Apple","Apple Schnapps","ounce apple schnapps"
"Bottle","Liqueur-Apricot","Apry","ounce apry liqueur"
"Bottle","Liqueur-Banana","Creme de Banane","ounce creme de banane"
"Bottle","Liqueur-Blackberry","Crème de Mûre","ounce crème de mûre."
"Bottle","Liqueur-Chamomile","Grappa & Camomile Marolo Milla","oz. marolo milla grappa & camomile liqueur"
"Bottle","Liqueur-Cherry","Cherry Heering","½ ounce cherry heering"
"Bottle","Liqueur-Cherry","Cherry Heering","ounce cherry heering"
"Bottle","Liqueur-Cherry","Maraschino","ounce maraschino liqueur"
"Bottle","Liqueur-Cherry","Maraschino","ounces maraschino liqueur (about 3/4 cup)"
"Bottle","Liqueur-Cherry","Maraschino","½ ounce maraschino liqueur"
"Bottle","Liqueur-Cherry","Maraschino","¼ ounce maraschino liqueur"
"Bottle","Liqueur-Cherry","Maraschino","¾ ounce maraschino liqueur"
"Bottle","Liqueur-Chocolate","House Dark Crème de Cacao","ounces dark crème de cacao or other dark chocolate liqueur, like godiva"
"Bottle","Liqueur-Chocolate","House Dark Crème de Cacao","oz. crème de cacao"
"Bottle","Liqueur-Chocolate","House Dark Crème de Cacao","tsp. dark crème de cacao"
"Bottle","Liqueur-Chocolate","House White Crème de Cacao","ounce white creme de cacao"
"Bottle","Liqueur-Chocolate","House White Crème de Cacao","ounces clear crème de cacao, plus about one ounce more for rimming the glasses"
"Bottle","Liqueur-Chocolate","Tempus Fugit Crème de Cacao","ounces tempus fugit crème de cacao"
"Bottle","Liqueur-Chocolate","Tempus Fugit Crème de Cacao","ounce crème de cacao, preferably tempus fugit"
"Bottle","Liqueur-Coffee","Galliano","ounces 84 6/10-proof galliano"
"Bottle","Liqueur-Coffee","Galliano","ounce galliano liqueur"
