"recipe.link","recipe.name","recipe.author","recipe.description","recipe.instructions","img","img.css"
"/recipes/1017977-frank-of-america","Frank of America","Robert Simonson","","In a mixing glass three-quarters filled with ice, combine all liquid ingredients. Stir until chilled, about 30 seconds. Strain into a chilled coupe glass. Twist orange peel over glass and drop into drink.","10BARTENDER4-mediumThreeByTwo252.jpg","fixed-height"
"/recipes/1017847-deathbed-manhattan","Deathbed Manhattan","Robert Simonson","Allen Katz, founder of the New York Distilling Company in Williamsburg, Brooklyn, spent years worrying over his first rye whiskey, tasting and testing it until it was ripe for bottling. So it only makes sense that he would fuss over the manhattan recipe that uses his new Ragtime Rye. After some tests, he settled on splitting the vermouth component between two products: the bolder, fruitier Martini & Rossi sweet vermouth and the more complex, dry, herbaceous Punt e Mes. Otherwise, it’s a straightforward version of this classic cocktail, which traditionally called for rye. And it lives up to its name: It’s so good, you may request it as your final drink.","Combine all the liquid ingredients in a mixing glass three-quarters filled with ice, and stir until chilled, about 30 seconds. Strain into a chilled coupe glass. Garnish with cherry.","02RYE2-mediumThreeByTwo252.jpg","fixed-height"
"/recipes/1017826-the-hunt","The Hunt","Florence Fabricant","This is the sort of cocktail you’ll welcome when the weather turns nippy and holiday time comes into view. It presses seasonal buttons with its brown spirit base, apple cider finish and cinnamon stick garnish. The splash of green Chartreuse, a venerable spirit that is enjoying new-found popularity, adds a whiff of pine. You can’t get more seasonal than that.  ","Combine the bourbon, Chartreuse and simple syrup in a mixing glass over ice. Stir, then strain into a double old-fashioned glass over a large ice cube. Top off with cider, garnish with the lemon twist and cinnamon stick and serve. If desired, the amount of cider can be increased.","02CHARTREUSE2-mediumThreeByTwo252.jpg","fixed-height"
"/recipes/1017848-falling-leaves","Falling Leaves","Robert Simonson","Many cocktails that ask for nocino employ trace amounts, since a little of the liqueur goes a long way in terms of flavor. Here, Columbus, Ohio, bartender Travis Owens uses a full third of an ounce. The liqueur is prevented from taking over the drink by the assertiveness of the two Scotches and the strong, herbal quality of the Punt e Mes. This is a rich, potent nightcap that lies somewhere between a Rob Roy and a Boulevardier.","Combine all ingredients in a mixing glass three-quarters filled with ice. Stir until chilled, about 30 seconds. Strain into a chilled coupe glass.","02WALNUT1-mediumThreeByTwo252.jpg","fixed-height"
"/recipes/1017805-black-rock-chiller","Black Rock Chiller","Robert Simonson","Sother Teague, a bartender at Amor y Amargo in the East Village, was asked by some journalists journeying to the Burning Man gathering in the Black Rock Desert in Nevada to come up with a cocktail that would travel and didn’t need chilling. This was his response. The big, sweet menthol hit of the amaro Branca Menta — while marrying wonderfully with the herbal tequila and bitter Suze — also provides the illusion of coolness in a drink that has none.","In a rocks glass, combine all ingredients. Stir briefly.","25LUKEWARM-mediumThreeByTwo252.jpg","fixed-height"
"/recipes/1017781-lions-tail","Lion’s Tail","Rosie Schaap","All recipes for the Lion’s Tail depend on allspice dram (also known as pimento dram) to give the cocktail its distinctively spicy zest. Not all contain gomme syrup, but I include it here for the extra body and smoothness it imparts.","Shake with ice, and strain into a cocktail or coupe glass.","01mag-01drink-t_CA0-mediumThreeByTwo252.jpg","fixed-height"
"/recipes/1017782-allspice-alexander","Allspice Alexander","Rosie Schaap","The vintage-cocktail expert Ted Haigh considers allspice dram an ideal “secret ingredient”: A small amount can add tremendous depth and flavor to many classic drinks. Here, I use it to perk up the otherwise staid — if indisputably delicious — Brandy Alexander.","Shake brandy, crème de cacao, allspice dram and cream vigorously with ice. Strain into a cocktail glass. Grate a very small amount of nutmeg on top.","33.png","pattern-33 fixed-height"
"/recipes/1017730-jimbo-and-ginga","Jimbo and Ginga","Robert Simonson","The lowly Mexican bulldog (a frozen margarita with an upturned bottle of beer in it) was the inspiration for this quirky variation on a whiskey and ginger highball. As with many of the bulldog variations created by Eben Freeman at Genuine Liquorette, a bar in Little Italy, the booze comes from a 50-milliliter mini-bottle and the mixer from the short can the bottle is emptied into. Don’t expect a lot of finesse from this drink; it is a highball, after all. But expect a little more fun than usual. If you can’t find a mini of Jim Beam, another light whiskey like Jameson will do.","Open the can of ginger ale and use a citrus reamer to widen the hole. Pour out 1 ounce of the soda, then pour in the fresh lemon juice and a dash of Angostura bitters. Place a straw in the can, then quickly invert the mini-bottle of bourbon into the hole in the can. Garnish top of can with the lemon wedge.","07BULLDOG1-mediumThreeByTwo252.jpg","fixed-height"
"/recipes/1017601-the-yellow-king","The Yellow King","Robert Simonson","This simple and breathtakingly beautiful aperitif drink (it is golden in hue) is an acquired taste. The floral and fruity Cocchi Americano, an aperitif wine, balances out the bitter bite of the Aveze, but not too much. Once you get used to the herb garden of flavors, the drink serves admirably as a palate cleanser and appetite whetter, all in an appealingly low-alcohol package. After two or three, you may even think it delicious. (I thought so after only one.) Think of it as a distant, sunny cousin of the Negroni.","In a mixing glass three-quarters filled with ice, combine the Aveze, Cocchi Americano and vermouth. Stir until chilled, about 30 seconds. Strain into a coupe glass. Garnish with the thyme sprig, gently spanked across your hand.","12OUTLIER2-mediumThreeByTwo252.jpg","fixed-height"
"/recipes/1017512-pineapple-express","Pineapple Express","Robert Simonson","With its understated, background fruit notes, Plantation Pineapple Rum Stiggins’ Fancy can easily be used in a wide variety of classic cocktail recipes without upsetting the drink’s balance. It makes a good old-fashioned, rum sour or El Presidente. The Pineapple Express, created by Freddie Sarkis of the Broken Shaker in Chicago, is simply a daiquiri with a split of pineapple rum and rhum agricole doing the work usually done by a white rum. The combination adds more richness and character to the drink, though you may not notice the pineapple until the second or third sip. That’s a testimony to the subtlety of the cocktail.","Combine the pineapple rum, rhum agricole, lime juice and simple syrup in a cocktail shaker three-quarters filled with ice. Shake vigorously for about 30 seconds. Strain into chilled coupe glass. Squeeze grapefruit twist over drink and discard. Note: To make simple syrup, warm 1 cup sugar in 1 cup water in a saucepan over low heat until dissolved. Cool to room temperature before using. (There will be extra syrup; refrigerate if not using immediately.)","PINEAPPLE3-mediumThreeByTwo252.jpg","fixed-height"
