"recipe.link","ingredient","ingredient.quantity","ingredient.as.written"
"/recipes/1017977-frank-of-america","House Rye","2","ounces rye whiskey"
"/recipes/1017977-frank-of-america","Luxardo Amaro Abano","½","ounce Amaro Abano"
"/recipes/1017977-frank-of-america","Byrrh","½","ounce Byrrh"
"/recipes/1017977-frank-of-america","Angostura Aromatic Bitters","2","dashes Angostura bitters"
"/recipes/1017977-frank-of-america","Maple Syrup","1","teaspoon maple syrup"
"/recipes/1017977-frank-of-america","Orange","","Orange twist, for garnish"
"/recipes/1017847-deathbed-manhattan","Ragtime","2","ounces rye whiskey, preferably Ragtime"
"/recipes/1017847-deathbed-manhattan","Punt e Mes","½","ounce Punt e Mes vermouth"
"/recipes/1017847-deathbed-manhattan","Martini & Rossi","½","ounce Martini & Rossi sweet vermouth"
"/recipes/1017847-deathbed-manhattan","Angostura Aromatic Bitters","2","dashes Angostura bitters"
"/recipes/1017847-deathbed-manhattan","Brandied Cherries","1","maraschino cherry, for garnish"
"/recipes/1017826-the-hunt","House Bourbon","2","ounces bourbon"
"/recipes/1017826-the-hunt","Green Chartreuse","1","teaspoon green Chartreuse"
"/recipes/1017826-the-hunt","Simple Syrup","1","teaspoon simple syrup (see note)"
"/recipes/1017826-the-hunt","Sparkling Apple Cider","1 ½","ounces (or more, to taste) sparkling apple cider, preferably Aval"
"/recipes/1017826-the-hunt","Lemon","","Lemon twist, for garnish"
"/recipes/1017826-the-hunt","Cinnamon","","Cinnamon stick, for garnish"
"/recipes/1017848-falling-leaves","House Scotch Whisky","1 ¾","ounces blended Scotch"
"/recipes/1017848-falling-leaves","Punt e Mes","½","ounce Punt e Mes vermouth"
"/recipes/1017848-falling-leaves","Aperol","½","ounce Aperol"
"/recipes/1017848-falling-leaves","Nocino Watershed","⅓","ounce nocino, preferably Watershed"
"/recipes/1017848-falling-leaves","House Scotch Whisky","¼","ounce single-malt Scotch, preferably a peaty one from Islay"
"/recipes/1017848-falling-leaves","Angostura Aromatic Bitters","2","dashes Angostura bitters"
"/recipes/1017805-black-rock-chiller","Brancamenta","¾","ounce Branca Menta"
"/recipes/1017805-black-rock-chiller","House Reposado Tequila","¾","ounce reposado tequila"
"/recipes/1017805-black-rock-chiller","Suze","¾","ounce Suze liqueur"
"/recipes/1017781-lions-tail","House Bourbon","2","oz. bourbon"
"/recipes/1017781-lions-tail","House Allspice Dram","¾","oz. allspice dram"
"/recipes/1017781-lions-tail","Lime","½","oz. fresh lime juice"
"/recipes/1017781-lions-tail","Gomme Syrup","1","tsp. gomme syrup (or more to taste)"
"/recipes/1017781-lions-tail","Angostura Aromatic Bitters","2","dashes Angostura bitters"
"/recipes/1017782-allspice-alexander","House Brandy","1","oz. brandy"
"/recipes/1017782-allspice-alexander","House Dark Crème de Cacao","¾","oz. crème de cacao"
"/recipes/1017782-allspice-alexander","House Allspice Dram","¼","oz. allspice dram"
"/recipes/1017782-allspice-alexander","Cream","1","oz. heavy cream"
"/recipes/1017782-allspice-alexander","Nutmeg","","Whole nutmeg"
"/recipes/1017730-jimbo-and-ginga","Ginger Ale","1","8-ounce can of ginger ale"
"/recipes/1017730-jimbo-and-ginga","Lemon","¼","ounce fresh lemon juice"
"/recipes/1017730-jimbo-and-ginga","Angostura Aromatic Bitters","","Angostura bitters"
"/recipes/1017730-jimbo-and-ginga","Jim Beam","1","50-milliliter bottle of Jim Beam bourbon"
"/recipes/1017730-jimbo-and-ginga","Lemon","","Lemon wedge, for garnish"
"/recipes/1017601-the-yellow-king","Gentian","1 ½","ounces Aveze (gentian liqueur)"
"/recipes/1017601-the-yellow-king","Cocchi Americano","¾","ounce Cocchi Americano"
"/recipes/1017601-the-yellow-king","Dolin Dry","¾","ounce dry vermouth, preferably Dolin"
"/recipes/1017601-the-yellow-king","Thyme","","Sprig of thyme"
"/recipes/1017512-pineapple-express","Stiggins' Fancy Pineapple Rum","1 ½","ounces Plantation Pineapple Rum Stiggins' Fancy"
"/recipes/1017512-pineapple-express","Neisson Rhum Agricole","¾","ounce 100 proof rhum agricole, preferably Neisson"
"/recipes/1017512-pineapple-express","Lime","¾","ounce fresh lime juice"
"/recipes/1017512-pineapple-express","Simple Syrup","½","ounce simple syrup (see note)"
"/recipes/1017512-pineapple-express","Grapefruit","","Grapefruit twist"
"/recipes/1016603-three-sheets-to-the-watermelon","Watermelon","1","10-pound watermelon, cut in half lengthwise, from stem"
"/recipes/1016603-three-sheets-to-the-watermelon","House Tequila","1","cup plus 1 ounce tequila"
"/recipes/1016603-three-sheets-to-the-watermelon","Lime","½","ounce fresh lime juice"
"/recipes/1016603-three-sheets-to-the-watermelon","Simple Syrup","¾","ounce simple syrup"
"/recipes/1016532-root-beer-butterfest-float","Kringle Cream","1","ounce Kringle Cream"
"/recipes/1016532-root-beer-butterfest-float","House Root Liqueur","1","ounce Root liqueur"
"/recipes/1016532-root-beer-butterfest-float","Club Soda","","Club soda"
"/recipes/1016533-lake-delton-mule","Wondermint","1","ounce Wondermint"
"/recipes/1016533-lake-delton-mule","Dolin Génépi","1","ounce Génépi liqueur, preferably Dolin"
"/recipes/1016533-lake-delton-mule","Ginger Beer","2","ounces ginger beer"
"/recipes/1016533-lake-delton-mule","Lime","1","bar spoon fresh lime juice"
"/recipes/1016533-lake-delton-mule","Candied Ginger","","Piece of candied ginger, for garnish"
"/recipes/1016384-slow-clap","Spring 44 Old Tom Gin","1 ½","ounces Spring 44 Old Tom Gin"
"/recipes/1016384-slow-clap","Lemon","¾","ounce fresh lemon juice, plus lemon wheel for garnish"
"/recipes/1016384-slow-clap","Chamomile Syrup","½","ounce chamomile syrup (see note)"
"/recipes/1016384-slow-clap","Amaro Cardamaro","½","ounce Cardamaro"
"/recipes/1016384-slow-clap","West Coast Green Flash IPA","3","ounces West Coast Green Flash I.P.A."
"/recipes/1016352-pink-gin","Angostura Aromatic Bitters","3","dashes Angostura bitters"
"/recipes/1016352-pink-gin","House London Dry Gin","2","ounces London Dry-style gin"
"/recipes/1016352-pink-gin","Soda Water","","Splash of soda water (optional)"
"/recipes/1016367-tequila-and-watermelon","House Blanco Tequila","2","ounces blanco tequila"
"/recipes/1016367-tequila-and-watermelon","Watermelon","4","ounces watermelon purée"
"/recipes/1016367-tequila-and-watermelon","Sea Salt","","Small pinch sea salt"
"/recipes/1016367-tequila-and-watermelon","Lime","","Squeeze of lime"
"/recipes/1016367-tequila-and-watermelon","Soda Water","","Soda water, to top"
"/recipes/1016367-tequila-and-watermelon","Jalapeño","","Jalapeño slices, for garnish"
"/recipes/1016385-fade-to-black","Del Maguey Vida","1","ounce mezcal, preferably Del Maguey Vida"
"/recipes/1016385-fade-to-black","Amaro Ramazzotti","1","ounce Ramazzotti amaro"
"/recipes/1016385-fade-to-black","Smith & Cross","¼","ounce navy strength Jamaican rum, preferably Smith & Cross"
"/recipes/1016385-fade-to-black","Agave Syrup","½","ounce agave syrup"
"/recipes/1016385-fade-to-black","Egg","1","egg"
"/recipes/1016385-fade-to-black","Salt","","Pinch of salt"
"/recipes/1016385-fade-to-black","Bittermens Xocolatl Mole Bitters","2","dashes Bittermens mole bitters"
"/recipes/1016385-fade-to-black","Negra Modelo","2","ounces Negra Modelo beer"
"/recipes/1016392-the-catcher","Dad's Hat","3","ounces rye whiskey, preferably unaged like Dad’s Hat"
"/recipes/1016392-the-catcher","Maraschino","1","ounce maraschino liqueur"
"/recipes/1016392-the-catcher","Lime","1 ½","ounces lime juice"
"/recipes/1016392-the-catcher","Simple Syrup","1","ounce simple syrup"
"/recipes/1016392-the-catcher","House Grapefruit Bitters","","Dash grapefruit bitters"
"/recipes/1016392-the-catcher","Lime","","Lime wedges, for garnish"
"/recipes/1016363-pina-colada","House Amber Rum","4","ounces golden rum"
"/recipes/1016363-pina-colada","Pineapple","4","ounces pineapple juice"
"/recipes/1016363-pina-colada","Coco López Coconut Cream","4","ounces Coco Lopez cream of coconut"
"/recipes/1016363-pina-colada","DROP","3","cups ice"
"/recipes/1016363-pina-colada","Pineapple","","Pineapple slices, for garnish"
"/recipes/1016363-pina-colada","Brandied Cherries","","Maraschino cherries, for garnish"
"/recipes/1016368-tequila-sour","House Reposado Tequila","2","ounces reposado tequila"
