"source","target","value"
"/recipes/1017977-frank-of-america","/recipes/1017848-falling-leaves",1
"/recipes/1017977-frank-of-america","/recipes/1017847-deathbed-manhattan",1
"/recipes/1017977-frank-of-america","/recipes/1017781-lions-tail",1
"/recipes/1017977-frank-of-america","/recipes/1017730-jimbo-and-ginga",1
"/recipes/1017977-frank-of-america","/recipes/1016352-pink-gin",1
"/recipes/1017977-frank-of-america","/recipes/1016173-jamie-boudreaus-chocolate-milk",1
"/recipes/1017977-frank-of-america","/recipes/1016010-stone-fence",1
"/recipes/1017977-frank-of-america","/recipes/1015795-mott-and-mulberry",1
"/recipes/1017977-frank-of-america","/recipes/1015784-act-of-faith",1
"/recipes/1017977-frank-of-america","/recipes/1015791-the-giving-tree",1
"/recipes/1017977-frank-of-america","/recipes/1015394-kenneth-mccoys-old-fashioned",1
"/recipes/1017977-frank-of-america","/recipes/1015396-old-fashioned-whiskey-cocktail",1
"/recipes/1017977-frank-of-america","/recipes/1014677-venezuela-libre",1
"/recipes/1017977-frank-of-america","/recipes/1014653-maple-old-fashioned",1
"/recipes/1017977-frank-of-america","/recipes/1014400-tom-and-jerry",1
"/recipes/1017977-frank-of-america","/recipes/12942-crystal-fall",1
"/recipes/1017977-frank-of-america","/recipes/12801-moos-manhattan",1
"/recipes/1017977-frank-of-america","/recipes/12800-the-southern-slope",1
"/recipes/1017977-frank-of-america","/recipes/12539-widows-kiss",1
"/recipes/1017977-frank-of-america","/recipes/12529-brooklyn",1
"/recipes/1017977-frank-of-america","/recipes/12538-junior",2
"/recipes/1017977-frank-of-america","/recipes/12523-boulevardier",1
"/recipes/1017977-frank-of-america","/recipes/12528-fancy-free",2
"/recipes/1017977-frank-of-america","/recipes/12537-vieux-carre",2
"/recipes/1017977-frank-of-america","/recipes/12468-too-hot-to-hoot-punch",1
"/recipes/1017977-frank-of-america","/recipes/12441-bourbon-old-fashioned",1
"/recipes/1017977-frank-of-america","/recipes/1015308-the-boulevardier",1
"/recipes/1017977-frank-of-america","/recipes/1015602-massa-man-hattan",1
"/recipes/1017977-frank-of-america","/recipes/1015610-old-pal",1
"/recipes/1017977-frank-of-america","/recipes/1013930-the-reanimator",1
"/recipes/1017977-frank-of-america","/recipes/1015641-saratoga",2
"/recipes/1017977-frank-of-america","/recipes/1015528-champs-elysees",1
"/recipes/1017977-frank-of-america","/recipes/1013714-angostura-sour",1
"/recipes/1017977-frank-of-america","/recipes/1013700-hot-port-sangaree",1
"/recipes/1017977-frank-of-america","/recipes/1013000-old-fashioned",1
"/recipes/1017977-frank-of-america","/recipes/1012966-red-hook-cocktail",1
"/recipes/1017977-frank-of-america","/recipes/1012932-rum-manhattan",1
"/recipes/1017977-frank-of-america","/recipes/1012910-carlo-sud",1
"/recipes/1017977-frank-of-america","/recipes/1012909-the-night-marcher",1
"/recipes/1017977-frank-of-america","/recipes/1012913-the-old-cuban",1
"/recipes/1017977-frank-of-america","/recipes/1012599-campbell-swizzle",1
"/recipes/1017977-frank-of-america","/recipes/1012606-rye-rickey",1
"/recipes/1017977-frank-of-america","/recipes/1012598-queens-park-swizzle",1
"/recipes/1017977-frank-of-america","/recipes/1012418-date-old-fashioned",1
"/recipes/1017977-frank-of-america","/recipes/1016312-cherry-crush",1
"/recipes/1017977-frank-of-america","/recipes/1016306-spiced-colada",1
"/recipes/1017977-frank-of-america","/recipes/11173-duke-of-bedford",1
"/recipes/1017977-frank-of-america","/recipes/786-applejack-cobbler",1
"/recipes/1017977-frank-of-america","/recipes/6437-the-vamp",1
"/recipes/1017977-frank-of-america","/recipes/11406-the-old-fashioned",2
"/recipes/1017977-frank-of-america","/recipes/11555-bemelmans-barter",1
"/recipes/1017977-frank-of-america","/recipes/1928-the-bartender-sambonn-sam-leks-rustys-return",1
"/recipes/1017826-the-hunt","/recipes/1017781-lions-tail",1
"/recipes/1017826-the-hunt","/recipes/1016279-bourbon-brule",1
"/recipes/1017826-the-hunt","/recipes/1016280-bufala-negra",1
"/recipes/1017826-the-hunt","/recipes/1016278-noreaster",1
"/recipes/1017826-the-hunt","/recipes/1016276-bourbon-milk-punch",1
"/recipes/1017826-the-hunt","/recipes/1014653-maple-old-fashioned",1
